SampleID,Amino sugar,Carbohydrate,Cond. HC,Lignin,Lipid,Other,Protein,Tannin,Unsat. HC
X0h100pctP08a_26_1_11402,1.54,2.05,29.91,48.09,1.39,0.18,2.54,14.22,0.07
X0h100pctP14a_4_1_11374,0.88,1.4,32.82,47.08,1.17,0.19,2.32,13.95,0.18
X0h100pctP16b_8_1_11378,1.79,2.49,28.77,48.49,1.13,0.26,2.85,14.13,0.09
X0h50pctP09b_15_1_11389,1.94,2.53,28.26,47.66,1.31,0.21,2.87,15.05,0.17
X0h50pctP10b_40_1_11420,0.8,1.82,31.34,48.57,1.16,0.21,1.89,14.08,0.13
X0h50pctP13b_25_1_11401,0.74,1.28,31.3,47.09,1.06,0.25,2.16,16.0,0.14
X168h100pctP08a.DI_x_x_000001,0.59,0.57,34.16,47.39,0.92,0.08,1.88,13.88,0.53
X168h100pctP08a_17_1_11391,0.51,0.42,34.99,47.05,0.85,0.08,2.04,13.49,0.57
X168h100pctP14a_10_1_11380,0.73,0.6,34.11,47.14,0.86,0.16,2.13,14.03,0.23
X168h100pctP16a_34_1_11412,0.87,0.49,32.11,48.32,0.93,0.07,2.14,14.52,0.54
X168h50pctP09a_18_1_11392,0.47,0.45,35.15,46.82,0.62,0.11,1.54,14.44,0.39
X168h50pctP10a_37_1_11415,0.52,0.37,33.27,48.76,0.52,0.08,1.51,14.66,0.32
X168h50pctP13a_6_1_11376,0.68,0.39,33.15,46.97,0.83,0.16,1.87,15.69,0.26
X24h100pctP08a_21_1_11397,0.84,1.04,32.21,47.76,1.24,0.19,2.42,14.19,0.12
X24h100pctP14a_33_1_11411,0.51,0.8,33.56,47.34,1.03,0.21,1.77,14.58,0.2
X24h100pctP16a_5_1_11375,0.89,1.11,30.41,49.54,1.36,0.17,2.85,13.53,0.15
X24h50pctP09a_22_1_11398,0.83,1.01,33.03,46.98,1.18,0.24,2.25,14.28,0.2
X24h50pctP10a_30_1_11408,0.59,1.03,31.68,49.21,0.81,0.17,1.55,14.68,0.29
X24h50pctP13a_3_1_11373,0.77,0.6,30.78,49.26,1.04,0.17,2.04,15.15,0.17
X3h100pctP08a_38_1_11416,0.76,1.68,32.09,47.91,1.23,0.15,2.19,13.76,0.23
X3h100pctP14a_36_1_11414,0.86,1.47,31.45,47.89,1.16,0.18,2.41,14.3,0.28
X3h100pctP16a_24_1_11400,1.69,2.07,29.12,48.02,1.63,0.23,2.93,14.12,0.2
X3h50pctP09a_19_1_11395,1.03,2.02,31.53,46.93,1.29,0.2,2.43,14.34,0.23
X3h50pctP10a_1_1_11371,0.78,1.78,31.05,48.46,0.82,0.23,2.11,14.59,0.18
X3h50pctP13a_9_1_11379,0.82,1.02,30.89,48.52,1.02,0.21,2.23,15.09,0.2
X48h100pctP08a_13_1_11385,0.83,0.86,31.68,49.92,1.33,0.15,2.3,12.71,0.22
X48h100pctP14a.DI_x_x_000001,0.45,0.4,34.77,47.3,0.61,0.17,1.23,14.94,0.13
X48h100pctP14a_27_1_11403,0.61,0.54,34.97,46.38,0.64,0.33,1.35,15.03,0.15
X48h100pctP16a_32_1_11410,0.58,0.73,34.08,47.21,0.93,0.28,1.78,14.22,0.19
X48h50pctP09a_14_1_11386,0.8,0.9,34.19,45.63,1.18,0.31,2.15,14.68,0.16
X48h50pctP10a_20_1_11396,0.61,0.64,32.63,48.66,0.64,0.21,1.5,14.89,0.23
X48h50pctP13a_35_1_11413,0.51,0.57,32.17,47.9,0.68,0.2,1.51,16.18,0.28
X72h100pctP08a_16_1_11390,0.74,0.57,32.82,47.53,1.42,0.09,2.14,14.38,0.31
X72h100pctP14a_12_1_11384,0.62,0.61,34.23,47.57,0.87,0.25,1.82,13.86,0.19
X72h100pctP16a_11_1_11383,0.81,0.76,32.05,49.24,1.24,0.15,2.46,13.05,0.24
X72h50pctP09a_23_1_11399,0.56,0.75,34.12,46.54,0.81,0.3,1.63,15.09,0.2
X72h50pctP10a_7_1_11377,0.59,0.47,31.86,50.57,0.78,0.19,1.88,13.44,0.23
X72h50pctP13a_28_1_11404,0.47,0.38,33.71,46.71,0.63,0.25,1.24,16.44,0.17
