"","sum.count"
"P14_x100_t0",1247096
"P16_x100_t0",1356903
"P03_x100_t0",966384
"P08_x100_t0",1292795
"P10_x50_t0",1041069
"P13_x50_t0",1364615
"P09_x50_t0",1119212
"P14_x100_t168",4045049
"P16_x100_t168",4346391
"P03_x100_t168",7456235
"P08_x100_t168",7723850
"P10_x50_t168",6084009
"P13_x50_t168",7044376
"P4_x50_t168",3159483
"P09_x50_t168",8131265
"P14_x100_t24",11832907
"P16_x100_t24",19480582
"P03_x100_t24",15532531
"P08_x100_t24",14901113
"P10_x50_t24",15132694
"P13_x50_t24",4322308
"P4_x50_t24",11136469
"P09_x50_t24",10649646
"P14_x100_t3",6723403
"P16_x100_t3",6205481
"P03_x100_t3",5690420
"P08_x100_t3",0
"P10_x50_t3",9142326
"P4_x50_t3",10197969
"P09_x50_t3",12577548
"P14_x100_t48",9333799
"P16_x100_t48",11672136
"P03_x100_t48",11219804
"P08_x100_t48",11199094
"P10_x50_t48",10183894
"P13_x50_t48",9543894
"P4_x50_t48",13388931
"P09_x50_t48",12006556
"P14_x100_t72",6738682
"P16_x100_t72",7897614
"P03_x100_t72",16368550
"P08_x100_t72",9851424
"P10_x50_t72",7278884
"P13_x50_t72",6670364
"P4_x50_t72",8883029
"P09_x50_t72",3653023
"P13_x50_t3",7150422
