"","moisture","timepoint","subject_id"
"P10_x50_t0","x50","t0","P10"
"P10_x50_t168","x50","t168","P10"
"P10_x50_t24","x50","t24","P10"
"P10_x50_t3","x50","t3","P10"
"P10_x50_t48","x50","t48","P10"
"P10_x50_t72","x50","t72","P10"
"P13_x50_t0","x50","t0","P13"
"P13_x50_t168","x50","t168","P13"
"P13_x50_t24","x50","t24","P13"
"P13_x50_t3","x50","t3","P13"
"P13_x50_t48","x50","t48","P13"
"P13_x50_t72","x50","t72","P13"
"P14_x100_t0","x100","t0","P14"
"P14_x100_t168","x100","t168","P14"
"P14_x100_t24","x100","t24","P14"
"P14_x100_t3","x100","t3","P14"
"P14_x100_t48","x100","t48","P14"
"P14_x100_t72","x100","t72","P14"
"P16_x100_t0","x100","t0","P16"
"P16_x100_t168","x100","t168","P16"
"P16_x100_t24","x100","t24","P16"
"P16_x100_t3","x100","t3","P16"
"P16_x100_t48","x100","t48","P16"
"P16_x100_t72","x100","t72","P16"
"P8_x100_t0","x100","t0","P8"
"P8_x100_t168","x100","t168","P8"
"P8_x100_t24","x100","t24","P8"
"P8_x100_t3","x100","t3","P8"
"P8_x100_t48","x100","t48","P8"
"P8_x100_t72","x100","t72","P8"
"P9_x50_t0","x50","t0","P9"
"P9_x50_t168","x50","t168","P9"
"P9_x50_t24","x50","t24","P9"
"P9_x50_t3","x50","t3","P9"
"P9_x50_t48","x50","t48","P9"
"P9_x50_t72","x50","t72","P9"
